,Weekday Entries 0-4 am,Weekday Entries 4-8 am,Weekday Entries 8-12 pm,Weekday Entries 12-4 pm,Weekday Entries 4-8 pm,Weekday Entries 8-12 am,Weekend Entries 0-4 am,Weekend Entries 4-8 am,Weekend Entries 8-12 pm,Weekend Entries 12-4 pm,Weekend Entries 4-8 pm,Weekend Entries 8-12 am,Weekday Exits 0-4 am,Weekday Exits 4-8 am,Weekday Exits 8-12 pm,Weekday Exits 12-4 pm,Weekday Exits 4-8 pm,Weekday Exits 8-12 am,Weekend Exits 0-4 am,Weekend Exits 4-8 am,Weekend Exits 8-12 pm,Weekend Exits 12-4 pm,Weekend Exits 4-8 pm,Weekend Exits 8-12 am
NORWOOD 205 ST,261,3074,2376,1706,1250,552,117,1120,1467,1487,1050,563,496,526,664,1286,2102,1313,323,369,463,755,1223,1004
5 AV/53 ST,365,340,1797,8339,11442,4956,16,131,646,1860,2241,1169,322,9350,12230,5107,2933,1028,41,691,1784,2251,1576,580
LEXINGTON AV/53,569,1325,5577,8577,26017,5480,954,445,2381,3819,4191,2434,251,7918,25494,6492,7476,2095,469,1002,3143,3225,3252,2134
COURT SQ-23 ST,124,823,2579,1655,3153,874,199,256,1011,1295,1129,496,61,783,760,397,504,196,44,133,257,273,237,148
QUEENS PLAZA,170,1106,2082,3992,3983,1360,60,572,1549,1996,1553,680,268,2660,2752,1928,1971,1194,144,817,1095,1265,1497,1220
STEINWAY ST,239,2154,4830,2911,3295,1435,392,486,1598,2234,2001,1188,255,741,1685,2123,4134,1886,415,276,1131,1436,1927,1529
46 ST,198,2821,2521,1802,1343,608,57,526,994,1061,827,452,307,721,1062,1435,2533,1544,139,246,506,736,1202,964
NORTHERN BLVD,121,2189,1912,1410,1211,460,57,464,734,821,651,300,228,724,765,1200,1887,1072,97,186,337,573,763,601
65 ST,49,1095,1050,737,508,191,13,328,560,490,320,134,167,181,261,568,947,679,83,110,174,296,504,458
JKSN HT-ROOSVLT,798,10187,16237,9230,9404,4101,1085,5168,12080,11378,9048,4596,1751,2032,4098,7663,15713,7215,3090,1651,3976,6489,8371,6557
ELMHURST AV,49,3276,4830,2340,1968,564,44,405,1103,1105,771,270,111,120,320,620,1159,644,102,29,99,155,269,240
GRAND-NEWTOWN,97,5330,6815,3208,2892,918,99,1337,2514,2172,1565,593,366,457,1054,1932,4333,2400,462,263,888,1145,1441,1212
63 DR-REGO PARK,88,3593,5642,3031,3328,1022,94,772,2004,2173,1758,755,148,363,1088,1287,2370,872,131,107,320,514,541,388
67 AV,38,2561,3895,1459,1244,345,44,370,1072,988,624,240,87,338,535,674,2156,864,122,101,206,327,339,295
FOREST HILLS 71,491,8260,7913,5240,4614,2127,231,1929,4169,4630,3615,4415,456,1062,1882,2997,5685,2696,305,796,1750,2637,3601,2255
75 AV,12,910,1495,544,643,198,37,47,246,268,183,124,15,60,199,205,306,161,54,33,96,116,143,96
KEW GARDENS,1058,6025,9700,5049,4327,1636,252,1822,3731,3617,2702,1245,1170,1952,4178,6227,9309,5479,209,1028,1963,2659,3486,3016
BRIARWOOD,26,1631,1881,829,613,183,19,232,578,481,332,158,98,131,233,384,1156,574,135,54,134,228,379,344
SUTPHIN BLVD,104,1305,1268,1079,714,242,30,327,521,512,355,171,132,207,381,608,910,501,61,120,202,358,530,345
PARSONS BLVD,100,1948,1765,1407,1180,345,100,769,1176,1220,736,434,326,503,918,1145,2136,1001,422,290,594,788,1033,749
169 ST,79,2342,2305,1810,1507,509,79,780,1239,1409,1124,514,315,490,927,1449,3283,1178,372,242,640,870,1297,1024
JAMAICA 179 ST,195,10289,6862,3044,2582,901,189,2038,2869,2659,1862,1277,453,568,1117,1732,4301,1749,537,480,906,1156,1639,1280
COURT SQ,314,903,2630,3331,7369,1633,616,802,1981,2770,2843,1455,312,2474,4801,1928,2459,1208,321,722,1907,2209,2137,1520
21 ST,32,165,225,415,617,259,0,0,0,0,0,0,19,505,438,303,276,156,0,0,0,0,0,0
GREENPOINT AV,0,1206,2849,1520,2620,762,0,0,0,0,0,0,11,808,1423,988,2181,754,8,2,4,3,0,4
NASSAU AV,0,1309,3186,1332,2175,682,0,0,1,1,1,2,19,358,656,739,1766,619,16,6,2,1,3,24
BROADWAY,146,3530,6019,2390,2953,1069,270,736,2650,3019,2407,1171,500,896,1441,2096,4651,3052,709,278,873,1264,1914,1478
MYRTLE-WILLOUGH,43,1619,1666,1122,852,292,0,1,21,6,0,0,110,234,281,459,968,556,1,4,8,2,1,0
BEDFORD-NOSTRAN,165,1665,3749,1486,1586,507,303,609,2008,2413,2151,1062,264,336,500,777,1893,1304,601,618,947,1385,1423,1325
CLASSON AV,53,885,2038,859,976,328,104,211,769,1005,708,327,106,414,619,737,2031,1132,174,115,297,492,648,582
47-50 STS ROCK,1207,660,3761,10879,39467,8595,1701,420,1743,3982,6387,4081,210,9878,37679,9716,6661,1861,362,1522,4165,4985,3205,2062
